objid              , ra              , dec                 , u       , g       , r       , i       , z       , class, redshift     , _q   , W1mag , W2mag , W3mag , W4mag, W1_W2        , u_g
1237646587175371897, 85.7224198483246, 0.22546618401935    , 24.58768, 21.47689, 19.89486, 18.46938, 17.66492, STAR , 0.0001704019 , 181.0, 15.322, 15.167, 11.766, 8.582, 0.15499973   , 3.110789999999998
1237646587175371900, 85.723903675626 , 0.255903644235534   , 24.574  , 21.71406, 20.03051, 18.65795, 17.82998, STAR , -9.237081e-05, 182.0, 15.935, 16.053, 12.6  , 8.855, -0.11799908  , 2.8599400000000017
1237646587175372279, 85.7208988891167, 0.308058618127683   , 23.74924, 22.20325, 20.54692, 19.29942, 18.61023, STAR , -6.110256e-05, 183.0, 14.685, 14.611, 12.444, 9.0  , 0.07400036   , 1.5459899999999998
1237646587175372402, 85.7576537624909, 0.242214338052133   , 23.72826, 21.42491, 20.27463, 19.74137, 19.33426, STAR , 0.0002126624 , 185.0, 15.782, 16.02 , 11.718, 8.958, -0.23800087  , 2.3033499999999982
1237646587175436329, 85.7917557808547, 0.277181531549539   , 23.55768, 21.22718, 19.95896, 19.44031, 19.09834, STAR , 0.0003416985 , 186.0, 15.893, 16.365, 12.108, 8.911, -0.47200012  , 2.3305000000000007
1237646587175436560, 85.8529862717909, 0.24673076722334    , 24.20928, 21.6938 , 20.30287, 19.70354, 19.47381, STAR , 0.0001682821 , 187.0, 16.664, 17.284, 12.39 , 8.616, -0.62000084  , 2.51548
1237646587175436955, 85.8139753993397, 0.220749743970869   , 24.08936, 20.75874, 19.41145, 18.91455, 18.53617, STAR , 7.109582e-05 , 188.0, 16.226, 16.654, 12.392, 8.829, -0.4279995   , 3.3306199999999997
1237646587175437394, 85.8961232300966, 0.409806361248304   , 21.78803, 20.14724, 19.46005, 19.11792, 18.968  , STAR , 0.0001780333 , 189.0, 14.588, 14.566, 12.228, 8.595, 0.022000313  , 1.640789999999999
1237646587175437424, 85.7946374339057, 0.317639225619478   , 24.74143, 21.91224, 20.17879, 18.92107, 18.21643, STAR , -9.840925e-05, 190.0, 15.204, 15.332, 12.237, 8.425, -0.1279993   , 2.8291900000000005
1237646587175437795, 85.8374900103391, 0.354966108777958   , 24.36677, 21.76825, 20.26077, 19.5978 , 19.31933, STAR , 0.0001464489 , 194.0, 15.781, 15.749, 12.148, 8.963, 0.03200054   , 2.5985200000000006
1237646587175437886, 85.8639304616643, 0.286364109256304   , 25.03103, 21.87323, 20.1387 , 19.15362, 18.51935, STAR , 3.999341e-05 , 195.0, 16.885, 17.089, 12.698, 8.83 , -0.20400047  , 3.1578000000000017
1237646587175438028, 85.9045613146209, 0.255964713225754   , 23.10804, 22.00399, 20.18349, 19.00097, 18.30249, STAR , -4.434455e-05, 197.0, 15.356, 15.326, 11.818, 8.903, 0.029999733  , 1.1040499999999973
