objid,ra,dec,u,g,r,i,z,class,redshift
1237646586638631307,85.9293310568119,-0.0217065416396739,22.11267,19.93863,18.82179,18.39805,18.04484,STAR,0.0002053912
1237646586638631441,85.9874843036793,-0.15838910389759,21.2573,19.3742,18.33422,17.84479,17.53336,STAR,0.0005011639
1237646586638631508,86.0072285761652,-0.0869947586222531,20.72678,19.38497,18.69548,18.37312,18.17309,QSO,6.788311
1237646586638631884,85.9508634012928,-0.0717913358840054,24.31841,21.5914,20.71021,20.26503,19.97371,QSO,1.808389
1237646586638631914,86.0068164455946,-0.19927747667258,22.50415,21.30777,20.27752,19.78436,19.52283,QSO,7.014154
1237646586638632084,85.9545487205615,-0.0127209440323875,23.74342,23.4484,21.52769,19.45011,18.34344,STAR,0.0002103271
1237646586638632090,85.9570124033777,-0.0832621861161816,24.48603,22.09147,20.16007,18.81277,18.01082,STAR,5.848834e-05
1237646586638632337,86.0296650470042,-0.16652816772204,24.73077,22.28185,20.59389,19.31962,18.50932,STAR,0.0003327221
1237646586638632355,86.0358305311787,-0.106144797701418,24.43433,21.82635,20.09919,19.31323,18.61467,QSO,0.2989859
1237646586638696975,86.1346187205899,-0.118670800324528,22.66835,20.19628,18.70661,17.93869,17.30205,QSO,7.000987
1237646586638697064,86.1640246142204,-0.0866400780109303,21.35166,19.39075,18.34021,17.85155,17.51807,QSO,7.011245
1237646586638697552,86.1152577133207,-0.0818596055294495,24.6176,22.83937,21.03383,19.45802,18.47868,STAR,0.0001847064
1237646586638697582,86.1236475331604,-0.183847394877203,25.53798,21.96552,20.14826,19.38487,18.83331,STAR,3.71159e-05
1237646586638697638,86.1354610804824,-0.0609914388062035,24.44405,22.33817,20.22765,19.10539,18.37435,STAR,8.621111e-05
1237646586638697808,86.2035685213111,-0.171031961288257,23.18439,21.39148,20.06946,19.49013,19.02995,STAR,6.081718e-05
1237646586638762070,86.3401456931326,-0.0558777449113395,21.59254,19.49882,18.35096,17.79123,17.357,STAR,0.0001698818
1237646586638762197,86.2313482204313,-0.146235491061829,21.35876,19.05005,17.68474,15.96026,15.01633,STAR,4.22034e-05
1237646586638762485,86.2422196930016,-0.166490759370132,22.65437,19.94484,18.53493,17.85179,17.34198,STAR,0.0001079204
1237646586638762545,86.3342767225589,-0.056533368828848,24.04362,20.96991,18.89103,17.87762,17.18576,STAR,-1.401068e-05
1237646586638762699,86.2270490302346,-0.0592300944579989,23.80467,21.31052,19.79822,19.04716,18.5741,STAR,0.0001598075
1237646586638762878,86.2888851166194,-0.171358171886581,24.89566,21.27895,19.67966,18.89694,18.40915,STAR,0.0001170406
1237646586638762925,86.3027590754632,-0.197644783639508,23.53034,21.86897,20.35132,19.41893,18.93103,QSO,0.1799669
1237646586638827524,86.3713778918063,-0.061272713009091,24.15308,20.86889,19.359,17.83858,17.03098,STAR,0.0001323501
1237646586638827702,86.4566657262574,-0.0865121112794315,19.27971,19.2137,17.71551,18.92219,18.65953,STAR,5.106626e-06
1237646586638827778,86.4076014134698,-0.0339754781754168,23.01069,20.19797,18.50694,17.55387,16.899,STAR,9.758284e-05
1237646586638827802,86.4283209489649,-0.017180281721394,23.02919,20.54461,18.93748,16.85475,15.66128,STAR,7.81029e-05
1237646586638827842,86.477728104632,-0.011064833424763,23.58218,21.33844,19.36891,18.30562,17.48859,STAR,0.0001126751
1237646586638827854,86.4863733628605,-0.00706712952656865,24.26785,21.86681,19.15174,17.28272,16.09048,STAR,0.0001232524
1237646586638827874,86.4180757384264,-0.0613836369888544,24.8622,22.41646,19.92288,18.34069,17.34206,STAR,0.0001481677
1237646586638828067,86.4238807157495,-0.0326905440899472,23.44603,21.73852,19.80924,18.78232,18.04273,STAR,0.0001570849
1237646586638828073,86.4272526407301,-0.109604831540338,24.50742,21.84363,19.88485,18.84548,18.12541,STAR,0.0001834416
1237646586638828352,86.4909844385789,-0.13759493488642,24.20313,23.68748,20.69737,18.92226,17.50253,STAR,0.0001241914
1237646586638893261,86.5481950613131,-0.0389472011943974,23.5387,20.01908,17.56858,15.78182,14.31022,STAR,-0.003827646
1237646586638893353,86.5612802676344,-0.0366479839943398,23.27825,20.63368,19.26608,17.85513,16.9488,STAR,0.000213891
1237646586638893383,86.5168554777152,-0.0649772972343287,24.61054,24.35271,21.37662,19.35244,17.76842,STAR,-0.0003483476
1237646586638893582,86.5876779178298,-0.202594950979908,18.16801,17.83611,17.15799,16.79025,16.513,STAR,0.0001786963
1237646586638958659,86.7028598977934,-0.0267185813274409,21.519,19.07905,17.54411,16.30284,15.6469,STAR,0.0001657309
1237646586638958843,86.8043469481877,-0.0980392588564762,23.07564,21.11415,19.15376,18.05695,17.25666,STAR,0.0001358883
1237646586638958853,86.686764158453,-0.157524467737178,23.32762,21.99603,20.33474,18.56122,17.56581,STAR,0.0002215208
1237646586638958862,86.7173912473003,-0.10295241486678,24.12706,21.96962,19.6427,18.32205,17.37589,STAR,0.0001299281
1237646586639024138,86.8192015305179,0.00469123227943969,21.6308,19.14459,17.71543,16.49409,15.83337,STAR,6.101212e-05
1237646586639024311,86.8362237791457,-0.195134038208932,21.63361,19.27341,17.84214,17.0956,16.56694,STAR,0.0001334831
1237646586639024529,86.8495116658246,-0.0471054687153481,22.96989,20.41612,18.79943,17.97626,17.35562,STAR,0.0001055709
1237646586639024614,86.9557751478508,-0.0930285275168835,23.13309,20.65676,18.62738,17.62564,16.90023,STAR,3.718377e-05
1237646586639024639,86.9024603364933,-0.00494712430725692,23.07756,21.57055,19.85833,18.94308,18.25375,QSO,1.047081
1237646586639024643,86.9271488271399,-0.057493949464535,24.1964,21.2748,19.53592,18.59188,17.89205,STAR,1.17564e-05
1237646586639024859,86.9062886641932,-0.136830904830961,24.70394,21.77708,19.97515,19.07598,18.37501,STAR,0.0002598671
1237646586639089965,87.0660998866789,-0.125496743139124,22.69793,19.87058,18.38076,16.92046,15.83364,STAR,8.601723e-05
1237646586639090190,86.982686427737,-0.0458246288263781,24.89104,21.50875,19.6224,18.59139,17.77586,QSO,1.398531
1237646586639090207,87.0399094191824,-0.120137418214816,24.83282,22.16136,20.0678,18.73726,17.85494,STAR,0.0002142609
1237646586639090295,86.9900113043559,-0.129676085615934,23.53734,21.7769,19.82088,18.86478,18.28664,STAR,0.0002201515
1237646586639090347,87.0107792688391,-0.0711472633041998,23.60271,21.67411,20.56005,19.88276,19.32661,QSO,1.052096
1237646586639090551,87.1013798128592,-0.0357340068875578,24.45674,23.02846,20.50169,18.80658,17.67299,STAR,0.0001942841
