objid,ra,dec,u,g,r,i,z,class,redshift,W1mag,W2mag,W1_W2,u_g,parallax,pmra,pmde
1237649920037880141,11.2614118398089,15.1227679278513,21.13636,20.57877,20.66476,20.40483,19.96534,QSO,2.26669,16.81,16.17,0.639999999999997,0.5575900000000011,1.1883,-0.083,0.462
1237651252040237077,208.237586378205,63.9412477703701,17.11595,16.27915,15.95649,15.8296,15.76573,STAR,-0.000538561,14.607,14.58,0.026999999999999247,0.8368000000000002,0.7903,-39.791,-42.116
1237651250946638114,125.834459363746,47.6312416487755,24.00201,20.90703,19.42539,18.63423,18.20499,STAR,0.0002920964,16.041,15.86,0.18100000000000094,3.0949799999999996,1.1418,-10.9,-9.872
1237651066278772838,181.247249671415,64.7610017679554,19.7832,18.89149,18.79778,18.78736,18.72279,QSO,2.728456,15.903,14.987,0.9160000000000004,0.8917099999999998,0.1231,-0.014,-0.049
1237651252039385132,203.954137461508,64.4190858928562,16.8699,16.03633,15.72373,15.60175,15.54691,STAR,-0.0007132661,14.429,14.412,0.01699999999999946,0.8335700000000017,0.7823,8.658,-32.806
1237651273498296522,128.488845140309,54.0201135058273,19.25535,18.36052,17.99508,17.85117,17.8055,STAR,-0.0002393466,16.668,16.907,-0.23900000000000077,0.8948299999999989,0.2894,11.545,-22.075
1237651067885387919,159.987711052188,64.0341148719298,20.2557,17.84431,16.71358,16.28678,16.06193,STAR,5.559925e-05,14.127,14.188,-0.06099999999999994,2.411390000000001,1.2506,14.436,-5.843
1237651540333822206,237.345249520344,57.6803584710358,19.92407,19.63722,19.58379,19.53054,19.49634,QSO,0.7301328,15.604,14.575,1.029,0.28685000000000116,0.1643,0.114,-0.183
1237651539252019216,201.900834016944,66.8295893789086,18.93147,17.83449,17.46727,17.33574,17.28844,STAR,-0.0003021372,16.07,16.261,-0.19099999999999895,1.096980000000002,0.1475,-0.459,-4.593
1237651191891558724,123.393726053905,46.2901007221462,24.35833,21.76242,20.27489,19.28011,18.7026,STAR,0.0002528886,16.392,17.178,-0.7860000000000014,2.59591,-1.1758,-1.468,-4.334
1237651191889985889,120.353956640031,43.4692840861464,19.66189,18.72167,18.37958,18.23095,18.22025,STAR,-0.0003905537,16.658,16.185,0.47300000000000253,0.9402200000000001,0.1294,6.344,-9.947
1237651252025491883,137.897302843307,56.7058788099098,23.2597,22.17985,20.66186,19.1493,18.32267,STAR,7.316125e-05,16.011,16.115,-0.1039999999999992,1.0798500000000004,1.4149,-35.675,-16.234
1237651203157786788,198.780716504792,-0.534866930616832,19.94645,18.32057,17.70888,17.509,17.4162,STAR,-9.549488e-05,15.982,15.63,0.35199999999999854,1.6258799999999987,0.3208,-0.652,1.484
1237651700841578572,131.943309553856,54.0960431727736,17.93419,16.79027,16.84478,16.9163,16.95662,STAR,-0.0007041208,16.402,16.725,-0.3230000000000004,1.1439200000000014,0.1453,6.12,-7.145
1237649964069355633,58.0622319859954,-4.81881556307566,19.72897,19.44681,19.15461,19.0404,18.78076,QSO,0.9018856,14.773,13.53,1.2430000000000003,0.2821600000000011,0.0373,-0.46,-0.139
1237651066812039329,162.615673433552,63.5633391873915,26.25177,22.03249,20.51154,18.51168,17.36705,STAR,-4.059796e-05,14.632,14.425,0.20699999999999896,4.219280000000001,4.8895,-3.301,-8.112
1237649919508086905,27.8849093775078,13.5110371832753,20.54388,20.01167,19.86935,19.91368,19.72605,QSO,0.7312672,15.866,14.827,1.0389999999999997,0.5322100000000027,0.1359,-0.042,-0.382
1237651252042465612,218.326880487848,61.7191075872726,24.92181,22.91757,21.10413,19.25422,18.2544,STAR,-3.922744e-05,15.695,15.551,0.14400000000000013,2.0042399999999994,4.1085,-41.637,44.786
1237648703519981573,221.339775451305,-0.72405905624813,15.25289,14.09157,14.10196,14.13617,14.21219,STAR,0.0006280643,13.373,13.391,-0.018000000000000682,1.16132,0.5693,-1.597,-35.477
1237651250406556157,120.168891593116,41.5162842850445,21.14536,20.76393,20.6406,20.31707,20.95438,QSO,1.788578,17.058,15.345,1.7129999999999992,0.3814300000000017,1.0523,0.85,0.841
1237648705131905146,224.469245553799,0.532670430687633,18.22791,17.03074,16.47815,16.24079,16.09382,STAR,0.0006865854,14.525,14.367,0.15799999999999947,1.1971699999999998,0.0521,-1.568,-1.181
1237651251487637593,135.547766426931,54.8221040853223,19.94956,19.67227,19.63043,19.31985,19.2808,QSO,1.793265,16.755,15.215,1.5399999999999991,0.2772900000000007,0.3006,0.13,-0.514
1237651212823429158,257.939708922836,60.221827931264,18.61155,18.56048,18.42696,18.45821,18.42686,QSO,0.9796032,14.986,13.712,1.274000000000001,0.051070000000002835,-0.1377,0.054,0.197
1237648721218765168,152.734924779815,-0.135980198617282,21.39782,20.57878,20.67109,20.63055,20.16357,QSO,2.317578,17.307,16.768,0.5389999999999979,0.8190400000000011,-0.2639,-2.904,-2.199
1237651066813808707,171.571129555311,64.6708716830007,18.57654,17.33809,16.81308,16.6139,16.52378,STAR,7.271118e-05,15.048,15.195,-0.14700000000000024,1.2384500000000003,0.0644,-7.905,-7.245
1237648721222566009,161.303145950407,-0.0923349155201023,22.65783,20.45748,18.87812,18.13464,17.47847,STAR,5.995927e-05,13.501,13.387,0.11399999999999899,2.2003500000000003,1.2917,12.365,-8.716
1237648705142063758,247.621269216903,0.438947844104299,19.61352,19.15331,18.62882,18.46529,17.97642,QSO,0.3290035,13.881,12.711,1.17,0.46021,0.5698,-0.025,-0.162
1237651067347599656,155.900026682497,62.7935453141899,21.45485,20.915,20.36261,19.97577,19.88105,QSO,1.494186,16.95,15.879,1.0709999999999997,0.5398500000000013,1.3057,-0.44,-1.145
1237651067348255003,159.182727530263,63.3260551334965,20.8995,20.57304,20.55858,20.13883,20.44146,QSO,1.612295,16.684,15.597,1.0870000000000015,0.32646000000000086,-0.899,-0.058,-0.535
1237651252552073694,115.115278080572,38.7413224745319,21.11091,20.24861,20.05389,20.02414,19.875,QSO,2.71026,17.386,16.047,1.3389999999999986,0.8623000000000012,-1.2299,-1.55,0.749
1237651067885584392,160.831194548168,64.1121360509644,18.18531,16.99976,16.62668,16.49403,16.458,STAR,-0.0001303202,15.194,15.267,-0.07299999999999862,1.1855500000000028,0.2553,-2.351,-1.803
1237651250406556143,120.148039584049,41.467345253874,21.52108,21.23582,21.08959,20.83335,20.96746,QSO,1.649418,17.223,16.032,1.190999999999999,0.28526000000000096,0.3672,-0.542,0.122
1237648720149282917,162.345199746074,-0.846905434888743,19.45426,17.49314,16.74405,16.50129,16.34002,STAR,0.000164115,14.85,14.953,-0.10299999999999976,1.961120000000001,0.7569,-0.603,-5.73
1237651251489996866,143.078325744657,58.2909207706256,19.87511,19.83128,19.59094,19.59148,19.57747,QSO,1.092428,16.082,14.861,1.221,0.043829999999999814,0.766,0.602,0.37
1237651539252805688,206.280269201386,66.2876176557642,15.36952,14.22061,14.14379,14.16393,14.24071,STAR,-8.017474e-05,13.432,13.386,0.04600000000000115,1.148909999999999,0.4633,-6.47,-1.488
1237648721218830562,152.834249718323,-0.197889024077081,20.42866,19.65246,19.51142,19.52727,19.25032,QSO,2.460542,16.614,15.392,1.2220000000000013,0.7761999999999993,-0.4194,-0.104,-0.529
1237651067351138420,173.584458750787,65.2056051869493,20.36443,17.80848,16.64725,16.20286,15.95039,STAR,-4.472119e-05,14.016,14.072,-0.05599999999999916,2.5559499999999993,1.2243,7.385,-5.264
1237651540330086512,224.184760834169,63.4242469770278,19.1273,18.21116,17.88843,17.74225,17.70245,STAR,-0.000609262,16.568,16.518,0.05000000000000071,0.9161400000000022,0.2036,-3.104,-5.564
1237651252583858367,234.721882779617,55.8226260033327,20.5037,20.33674,20.31993,20.09435,19.99129,QSO,1.623527,16.853,15.409,1.4440000000000008,0.16695999999999955,-0.0635,0.786,-0.287
1237648722828263440,150.055702389589,1.20088562530315,18.6547,18.55897,18.57645,18.36495,18.33595,QSO,1.804534,15.424,14.108,1.315999999999999,0.09572999999999965,-0.049,-0.315,0.099
1237651067347599576,156.226443955157,62.7395714588501,19.45961,19.14232,18.33691,17.94399,17.62869,QSO,0.2594912,14.412,13.871,0.5410000000000004,0.31728999999999985,-0.3475,0.94,-0.168
1237651251490914384,146.466394222803,59.6177257676383,19.36955,19.2027,19.13242,19.18274,19.16374,QSO,0.9076231,15.063,13.874,1.189,0.16685000000000016,0.2837,-0.079,0.021
1237651252048560541,238.721669195378,52.9258411099685,21.27558,21.03588,20.86485,20.94223,20.94418,QSO,0.8456045,16.769,15.485,1.283999999999999,0.2397000000000027,-0.7843,-0.806,-2.014
1237651211215700327,259.618341799542,53.4486679854598,19.86943,19.37647,18.63098,18.32875,17.89116,QSO,0.3007645,14.677,13.983,0.6939999999999991,0.49296000000000006,-0.4081,0.746,1.318
