objid              , ra              , dec                 , u       , g       , r       , i       , z       , class, redshift     , W1mag , W2mag , parallax, pmra   , pmde   , u_g                 , W1_W2
1237646587712373755, 86.0381090296278, 0.819026870859521   , 21.21736, 18.84782, 17.44509, 16.29465, 15.68549, STAR , 0.0001313483 , 13.402, 13.284, 3.5152  , 31.739 , -4.098 , 2.3695400000000006  , 0.11800003
1237646587712373827, 86.0602885581872, 0.767120441822088   , 22.52672, 19.81372, 18.47676, 17.88787, 17.4885 , STAR , 0.0002984948 , 15.289, 15.554, 0.3126  , 1.778  , 4.122  , 2.713000000000001   , -0.26500034
1237646587712374012, 86.0071299071382, 0.817884672861105   , 24.59388, 21.55858, 19.8967 , 18.61509, 17.90623, STAR , 1.076002e-05 , 15.329, 15.202, 0.6272  , 1.753  , -7.547 , 3.0352999999999994  , 0.12700081
1237646587712374292, 85.9700621459362, 0.792172243323861   , 23.91828, 22.31859, 20.50019, 19.20563, 18.49816, STAR , 0.0001531669 , 16.003, 16.122, 0.8906  , -2.528 , -3.333 , 1.599689999999999   , -0.11899948
1237646587712438784, 86.0691603675274, 0.786709439656976   , 22.63979, 19.96748, 18.41836, 17.38874, 16.81936, STAR , 0.0001083375 , 14.246, 14.203, 1.8935  , 3.017  , -3.961 , 2.672310000000003   , 0.04300022
1237646587712439198, 86.1642686299255, 0.793294417743967   , 19.77348, 18.41189, 17.74672, 17.459  , 17.31004, STAR , 0.0002420767 , 15.749, 15.954, 0.3215  , -0.467 , 1.311  , 1.3615899999999996  , -0.20500088
1237646587712439522, 86.0773433230901, 0.646165158814743   , 23.60701, 21.30051, 19.59937, 18.5322 , 17.89493, STAR , 0.0002145819 , 15.365, 15.379, 0.4542  , -4.71  , -3.916 , 2.3064999999999998  , -0.013999939
1237646587712439532, 86.0997324383158, 0.842309574757709   , 25.20833, 22.25823, 20.71594, 19.43041, 18.62948, STAR , 2.142859e-05 , 15.695, 15.596, 1.0007  , 1.794  , -5.768 , 2.950099999999999   , 0.09899998
1237646587712439613, 86.1386135401202, 0.676814516628557   , 22.12059, 20.56483, 19.73245, 19.37635, 19.08496, STAR , 9.945342e-06 , 16.656, 16.536, -0.893  , 1.439  , -0.839 , 1.5557599999999994  , 0.12000084
1237646587712439866, 86.1309648714043, 0.683235562867537   , 24.55485, 22.13847, 20.43878, 19.12307, 18.42611, STAR , -0.0001047215, 15.875, 15.724, 0.9595  , 2.151  , -12.586, 2.4163799999999966  , 0.15100002
1237646587712569718, 86.3905646304595, 0.693516711071443   , 22.26346, 19.51375, 18.08476, 17.43306, 17.02072, STAR , 4.568029e-05 , 14.629, 14.774, 0.7948  , -0.329 , 2.17   , 2.7497099999999968  , -0.14500046
1237646587712569961, 86.4711709616912, 0.760577765313224   , 22.17483, 19.22189, 17.76941, 17.12383, 16.66262, STAR , 3.648494e-05 , 14.231, 14.191, 0.929   , 3.19   , -1.126 , 2.9529400000000017  , 0.03999996
1237646587712570025, 86.5016181410667, 0.644126002577925   , 23.1803 , 21.49697, 19.87496, 19.0541 , 18.51411, STAR , 0.0001955455 , 15.612, 15.245, 0.5394  , 0.766  , -0.001 , 1.683329999999998   , 0.36700058
1237646587712570140, 86.4422156724922, 0.730063261205956   , 22.12563, 20.94124, 19.92069, 19.64198, 19.45705, QSO  , 1.166334     , 14.614, 13.413, 0.8366  , -0.101 , 0.227  , 1.1843900000000005  , 1.2010002
1237646587712570188, 86.4797035233399, 0.785903304739914   , 21.85616, 20.08971, 19.03143, 18.50843, 18.12603, STAR , 8.808173e-05 , 15.954, 16.133, -0.2269 , 0.325  , -0.828 , 1.766449999999999   , -0.17899895
1237646587712570192, 86.4852380672317, 0.695925992536715   , 24.67962, 21.39253, 19.18146, 18.07977, 17.32138, STAR , 3.141905e-05 , 13.982, 14.046, 1.5996  , 2.845  , -11.429, 3.287089999999999   , -0.063999176
1237646587712570227, 86.3810387277618, 0.717711204596853   , 23.63749, 21.25265, 19.54906, 18.66666, 18.06958, STAR , 0.0001381983 , 15.564, 15.73 , 0.6128  , 3.958  , -5.677 , 2.3848400000000005  , -0.16599941
1237646587712570231, 86.4477943303408, 0.676138631480256   , 25.0689 , 22.99491, 20.09455, 18.4923 , 17.37803, STAR , 0.0001050383 , 13.2  , 13.116, 2.1514  , 1.67   , -4.29  , 2.0739899999999984  , 0.083999634
1237646587712570238, 86.4650859722266, 0.657283897893171   , 22.71189, 21.24996, 19.63827, 18.72488, 18.05195, STAR , 9.478337e-05 , 14.489, 14.335, -2.4416 , -2.339 , -0.37  , 1.4619299999999988  , 0.15400028
