objid,ra,dec,u,g,r,i,z,class,redshift
1237651539251101946,196.762048027709,67.4209400618265,21.10287,20.30125,20.04878,20.01001,19.99052,QSO,2.703806
1237651066812039304,162.678836983422,63.5537339206362,22.22565,19.47384,17.96418,16.82333,16.19144,STAR,-6.389139e-06
1237651252051116544,244.767430756575,48.5043953221935,22.45998,21.15543,20.80805,20.75914,20.5887,STAR,-0.0002671776
1237651252551222229,113.866242729918,37.0833164536715,25.89227,22.3914,20.96698,19.80909,19.10746,STAR,0.0002614314
1237648705657307531,198.277943130971,0.892416815152043,20.99959,20.40351,20.32229,20.42878,19.90457,QSO,2.470473
1237651252026081473,139.887597262869,57.6304674961167,20.12005,19.78655,19.58212,19.37527,19.36955,QSO,1.741535
1237651251489276222,140.876081912425,57.2744370107736,22.15074,21.89161,21.40178,21.05392,21.28995,QSO,1.665908
1237651250412519605,132.8405196045,52.1453372647428,20.05799,19.84165,19.70224,19.56044,19.64447,QSO,1.536493
1237651252025557463,138.420651499687,56.6818533307512,23.19718,20.91133,19.80084,19.38449,19.08578,STAR,-0.0002229432
1237648705130529625,221.251530501425,0.508162172558993,22.67457,21.72286,21.79094,21.69671,21.24132,QSO,2.232909
1237648720689758391,170.665789942554,-0.48654254169919,19.65414,18.30403,17.74564,17.54453,17.44965,STAR,-5.835401e-05
1237651252581368162,226.716206037463,59.4776224964574,20.22113,20.29408,20.04134,20.06942,20.06282,QSO,1.265256
1237651250947096876,127.059159484463,48.3712509632764,20.64282,20.48581,20.57878,20.30862,20.61493,QSO,1.849034
1237651251491307754,147.739277058927,60.0728860991667,20.44427,20.28342,20.62412,20.96097,21.01535,STAR,-0.000150759
1237651252029292557,151.914173463578,61.6563980952908,17.81753,16.69804,16.34132,16.21181,16.16815,STAR,-2.977478e-05
1237651252026343478,140.904844163004,57.9365472348251,17.652,17.56225,17.35604,17.31382,17.39815,QSO,1.155486
1237648705653506201,189.53493575779,0.879548005664517,19.93946,19.37219,19.10118,19.02395,18.86286,QSO,0.8037395
1237651273499476077,131.573439884004,55.9434115979352,22.81511,19.47198,17.93247,17.09416,16.61721,STAR,-9.080562e-05
1237648721221845297,159.770427433746,-0.134974457554458,21.92805,21.50278,21.43719,21.54704,21.35082,QSO,2.484193
1237651249899569384,232.418486812278,54.0579164541116,19.74728,19.1183,18.9791,18.88298,18.62487,QSO,2.473404
1237648704577995037,185.551240054134,0.0526260350012168,21.69244,20.44304,20.30398,20.24151,20.27658,STAR,-0.0001248007
1237651066813678194,170.801594627172,64.5582541230818,22.28002,20.27282,19.18233,18.31543,17.85153,STAR,-0.0001367081
1237651252553122245,116.794852622585,40.6321336206637,21.84051,21.06154,20.99169,20.67219,20.28902,QSO,2.22473
1237648704578519088,186.678747314133,0.151634687613956,18.71259,16.32915,15.08869,14.58182,14.27226,STAR,-5.951727e-06
1237651251491111160,147.268978208692,59.7584997720297,21.65245,21.54923,21.34361,21.22358,20.95473,QSO,1.2301
1237651252025557519,138.44222584433,56.6997080618439,24.34023,21.59133,21.10568,21.13918,20.98319,STAR,-7.539157e-05
1237651273499541621,131.632643959366,56.1209329877979,20.20169,19.10713,18.73367,18.62863,18.61511,STAR,-9.957379e-07
1237651539251626117,199.699807126386,67.1315477959061,20.48329,19.05601,18.51468,18.29518,18.24235,STAR,-0.0006024332
1237651250412323160,132.293451927808,51.6828828799522,21.51853,21.62586,21.31743,21.08386,20.85097,QSO,1.337259
1237651540329824260,222.910204489428,63.6994711033565,17.70014,16.77637,16.52623,16.43842,16.40637,STAR,-0.0003597644
1237651252028375184,148.005044933607,60.7166421559894,19.92158,19.89038,19.59099,19.53812,19.71647,QSO,1.129763
1237651066280673493,191.688181967186,64.6766739201964,23.73297,20.75243,19.68287,19.5377,19.29077,QSO,3.616855
1237651252052427052,247.369650675772,46.1552588234888,21.7278,20.83224,20.4447,20.30278,20.32729,STAR,-0.0004423191
1237651754004381856,166.438293532801,2.48209261235092,20.25309,19.32334,18.97768,18.87111,18.7935,STAR,0.0003274102
1237651252058456487,257.374838425629,34.6699058926791,20.82675,19.6606,19.09791,18.91708,18.77463,STAR,-0.0008300975
1237651539251691749,200.014122926157,67.1419772440071,21.39825,20.41737,20.20039,20.13201,20.16171,STAR,-0.0006118537
1237648705655407080,193.836454840297,0.920172353567888,22.51826,21.10547,20.84286,20.8862,20.81028,QSO,3.052571
1237649921118634109,27.7935888954067,14.7970759582238,20.69408,19.53193,19.58016,19.59974,19.67064,STAR,-0.0004285562
1237651067351138503,173.776261108838,65.4163404193606,19.67162,19.3912,19.30639,19.26789,19.13051,QSO,0.689714
1237651252050329818,242.827046083204,49.8364606733374,19.85033,18.40271,17.83364,17.62186,17.50432,STAR,-0.0002201933
1237651191890182156,120.540566700482,43.8104628129205,24.8762,22.45178,20.9646,20.02648,19.4126,STAR,1.743664e-05
